"split_id","items_1","N","R_hat","naive_phi1","phi4_bar","K_cv","K_star_ms","pmm2_phi4","shift","rel_attenuation","phi4_orth","criterion_safe","sig_naive","sig_pmm2","sig_flip"
1,"ADPLEASR+ADDOWN+ADSLEEP+ADENERGY",2136,0.9727,179.34662,-665.48572,0.15348,-0.15348,77.21091,-102.13571,-0.5695,0,0,1,1,0
2,"ADPLEASR+ADDOWN+ADSLEEP+ADEAT1",2136,0.9867,5.13599,-118.03267,0.20264,-0.20264,-18.78254,-23.91853,-4.657,1,1,0,0,0
3,"ADPLEASR+ADDOWN+ADSLEEP+ADFAIL",2136,1.0439,-168.12304,401.54141,0.17518,-0.17518,-97.7806,70.34244,-0.4184,0,0,1,1,0
4,"ADPLEASR+ADDOWN+ADSLEEP+ADTHINK",2136,1.0284,-82.87707,241.50528,0.20484,-0.20484,-33.40657,49.47051,-0.5969,0,0,1,0,1
5,"ADPLEASR+ADDOWN+ADSLEEP+ADMOVE",2136,1.0036,-312.91023,761.71195,0.21383,-0.21383,-150.03571,162.87452,-0.5205,0,0,1,1,0
6,"ADPLEASR+ADDOWN+ADENERGY+ADEAT1",2136,0.9752,91.99566,-270.05238,0.18369,-0.18369,42.38867,-49.60699,-0.5392,0,0,1,0,1
7,"ADPLEASR+ADDOWN+ADENERGY+ADFAIL",2136,1.0317,-117.15742,213.62763,0.15879,-0.15879,-83.23636,33.92106,-0.2895,0,0,1,1,0
8,"ADPLEASR+ADDOWN+ADENERGY+ADTHINK",2136,1.0163,-19.36442,66.13854,0.20729,-0.20729,-5.65449,13.70994,-0.708,1,1,0,0,0
9,"ADPLEASR+ADDOWN+ADENERGY+ADMOVE",2136,0.9917,-236.13335,599.60945,0.2156,-0.2156,-106.86016,129.27319,-0.5475,0,0,1,1,0
10,"ADPLEASR+ADDOWN+ADEAT1+ADFAIL",2136,1.0468,-304.26699,748.18175,0.1756,-0.1756,-172.88304,131.38395,-0.4318,0,0,1,1,0
11,"ADPLEASR+ADDOWN+ADEAT1+ADTHINK",2136,1.0316,-247.24137,559.92527,0.19507,-0.19507,-138.01544,109.22593,-0.4418,0,0,1,1,0
12,"ADPLEASR+ADDOWN+ADEAT1+ADMOVE",2136,1.0066,-422.20643,1135.20005,0.2288,-0.2288,-162.47055,259.73588,-0.6152,0,0,1,1,0
13,"ADPLEASR+ADDOWN+ADFAIL+ADTHINK",2136,1.089,-472.45137,1027.54837,0.16736,-0.16736,-300.47982,171.97155,-0.364,0,0,1,1,0
14,"ADPLEASR+ADDOWN+ADFAIL+ADMOVE",2136,1.0639,-669.87509,1580.36448,0.20808,-0.20808,-341.03097,328.84412,-0.4909,0,0,1,1,0
15,"ADPLEASR+ADDOWN+ADTHINK+ADMOVE",2136,1.0483,-584.33312,1420.62436,0.21387,-0.21387,-280.5024,303.83072,-0.52,0,0,1,1,0
16,"ADPLEASR+ADSLEEP+ADENERGY+ADEAT1",2136,0.9113,439.09111,-1138.0637,0.1942,-0.1942,218.07463,-221.01649,-0.5033,0,0,1,1,0
17,"ADPLEASR+ADSLEEP+ADENERGY+ADFAIL",2136,0.9622,214.60985,-669.71187,0.2277,-0.2277,62.11882,-152.49103,-0.7106,0,0,1,1,0
18,"ADPLEASR+ADSLEEP+ADENERGY+ADTHINK",2136,0.9477,304.07906,-825.52475,0.21031,-0.21031,130.46312,-173.61594,-0.571,0,0,1,1,0
19,"ADPLEASR+ADSLEEP+ADENERGY+ADMOVE",2136,0.9251,110.13017,-269.23381,0.13145,-0.13145,74.73868,-35.39148,-0.3214,0,0,1,1,0
20,"ADPLEASR+ADSLEEP+ADEAT1+ADFAIL",2136,0.9766,54.93942,-107.71862,0.23624,-0.23624,29.49203,-25.44739,-0.4632,1,1,0,0,0
21,"ADPLEASR+ADSLEEP+ADEAT1+ADTHINK",2136,0.9614,115.07916,-292.86097,0.21965,-0.21965,50.75279,-64.32638,-0.559,0,0,1,1,0
22,"ADPLEASR+ADSLEEP+ADEAT1+ADMOVE",2136,0.9383,-91.4115,250.8882,0.21018,-0.21018,-38.67885,52.73265,-0.5769,0,0,1,0,1
23,"ADPLEASR+ADSLEEP+ADFAIL+ADTHINK",2136,1.0186,-56.47819,228.41477,0.21079,-0.21079,-8.33087,48.14732,-0.8525,0,0,0,0,0
